key_count,avg_gap,variance,label
4,0.5189988613128662,0.1477004345909733,0
14,0.1815000602177211,0.0236820717047871,0
18,0.133894125620524,0.0058386023922973,0
7,0.3192006519862583,0.1163312419113392,0
27,0.1052216865398265,0.0035249921719578,0
3,0.1883447170257568,0.0288763445799986,0
6,0.3694747686386108,0.0293958944161876,0
19,0.1544701551136217,0.0043396600115017,0
19,0.1497327528501811,0.0089260564021745,0
21,0.1347933610280355,0.0059826671745285,0
8,0.2190253734588623,0.0418701043563345,0
1,0.1403403282165527,0.0,0
10,0.2909360408782959,0.0430546605923359,0
11,0.1608469269492409,0.0110898473609025,0
11,0.2459991194985129,0.0716823135814474,0
9,0.0752945741017659,0.0004873468870982,0
1,0.0725564956665039,0.0,0
8,0.2911786437034607,0.0459090452639223,0
3,0.3903706073760986,0.1852860235472159,0
1,0.2732210159301758,0.0,0
1,0.0555732250213623,0.0,0
1,0.0519099235534668,0.0,0
7,0.2405718394688197,0.0314237778858968,0
18,0.1656857199139065,0.009361706734857,0
15,0.1840173880259196,0.0064967175204391,0
15,0.1718861103057861,0.0116949178981394,0
8,0.1439847946166992,0.0083969606570803,0
15,0.1514761447906494,0.0052046588807646,0
8,0.3264634311199188,0.3274634520055945,0
2,0.5879806280136108,0.1251489237939864,0
3,0.1577430566151937,0.0089058995488484,0
3,0.3341889381408691,0.0446285343933823,0
1,0.0409371852874755,0.0,0
2,0.2755509614944458,0.0191608845145907,0
4,0.2255184650421142,0.0117064248905762,0
2,0.2438338994979858,0.0002028292834808,0
8,0.1518328487873077,0.0124163602198796,0
4,0.2213681936264038,0.0442522244936895,0
6,0.2389529148737589,0.0442318439333351,0
5,0.4277899265289306,0.1294086692890005,0
2,0.7653037309646606,0.4810446611452477,0
4,0.305121898651123,0.0396387356006187,0
7,0.1706715992518833,0.0049285838455888,0
15,0.14973939259847,0.0045710945585814,0
1,0.1226975917816162,0.0,0
8,0.3278227746486664,0.0894516096337971,0
2,0.1141383647918701,0.0072289385439603,0
1,0.0414168834686279,0.0,0
4,0.2926902770996094,0.012833636639101,0
10,0.1351635694503784,0.0031751459911839,0
23,0.1151081997415293,0.009506204064569,0
6,0.1370334227879842,0.0033991236434268,0
8,0.3083154559135437,0.0532866507858038,0
12,0.1706578135490417,0.0182732395305637,0
10,0.2567045927047729,0.114210973524319,0
6,0.4384791056315104,0.0996387200187061,0
3,0.1239031155904134,0.0015902542979928,0
7,0.1692583901541573,0.0039685480045433,0
7,0.242218085697719,0.0125273089377014,0
1,0.1220688819885253,0.0,0
1,0.2089943885803222,0.0,0
3,0.1909173329671224,0.0090584796103535,0
1,0.0927846431732177,0.0,0
5,0.4866719722747802,0.0110281819565761,0
6,0.4122937520345052,0.0484188830677428,0
12,0.2435641884803772,0.0168451046316432,0
8,0.091551661491394,0.0253030563084877,0
1,0.3777360916137695,0.0,0
42,0.0444674718947637,0.0053416105175967,0
6,0.4726321697235107,0.3141536942843951,0
17,0.0596782880670884,0.0129808717336685,0
2,0.8826079368591309,0.6101552554883369,0
40,0.0518281877040863,0.0112321823561839,0
1,0.0735664367675781,0.0,0
2,0.4297075271606445,0.1128932532515705,0
